stage,model_type,C,class_weight,word_ngram_range,char_ngram_range,min_df,max_df,sublinear_tf,best_threshold,best_f1
feature_tuning,lr,2.0,None,"(1, 2)","(3, 5)",2,0.9,True,0.4200000000000002,0.8167122606316837
feature_tuning,lr,2.0,None,"(1, 2)","(3, 5)",2,0.95,True,0.4200000000000002,0.8167122606316837
feature_tuning,lr,2.0,None,"(1, 2)","(4, 6)",2,0.9,True,0.3300000000000001,0.816551064338675
feature_tuning,lr,2.0,None,"(1, 2)","(4, 6)",2,0.95,True,0.3300000000000001,0.816551064338675
feature_tuning,lr,2.0,None,"(1, 2)","(3, 6)",2,0.9,True,0.3300000000000001,0.8163362789586817
feature_tuning,lr,2.0,None,"(1, 2)","(3, 6)",2,0.95,True,0.3300000000000001,0.8163362789586817
feature_tuning,lr,2.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.38000000000000017,0.8159569260890847
feature_tuning,lr,2.0,None,"(1, 2)","(3, 5)",3,0.9,True,0.38000000000000017,0.8159569260890847
feature_tuning,lr,2.0,None,"(1, 2)","(3, 5)",5,0.9,True,0.38000000000000017,0.8147058823529412
feature_tuning,lr,2.0,None,"(1, 2)","(3, 5)",5,0.95,True,0.38000000000000017,0.8147058823529412
feature_tuning,lr,2.0,None,"(1, 2)","(3, 6)",3,0.9,True,0.38000000000000017,0.8144884973078805
feature_tuning,lr,2.0,None,"(1, 2)","(3, 6)",3,0.95,True,0.38000000000000017,0.8144884973078805
feature_tuning,lr,2.0,None,"(1, 1)","(4, 6)",5,0.95,True,0.3300000000000001,0.8139479340816814
feature_tuning,lr,2.0,None,"(1, 1)","(4, 6)",5,0.9,True,0.3300000000000001,0.8139479340816814
feature_tuning,lr,2.0,None,"(1, 1)","(4, 6)",2,0.9,True,0.3200000000000001,0.8134381701215153
feature_tuning,lr,2.0,None,"(1, 1)","(4, 6)",2,0.95,True,0.3200000000000001,0.8134381701215153
feature_tuning,lr,2.0,None,"(1, 1)","(3, 6)",5,0.95,True,0.3300000000000001,0.8132444020962363
feature_tuning,lr,2.0,None,"(1, 1)","(3, 6)",5,0.9,True,0.3300000000000001,0.8132444020962363
feature_tuning,lr,2.0,None,"(1, 1)","(3, 5)",5,0.9,True,0.3300000000000001,0.8131553860819828
feature_tuning,lr,2.0,None,"(1, 1)","(3, 5)",5,0.95,True,0.3300000000000001,0.8131553860819828
feature_tuning,lr,2.0,None,"(1, 1)","(3, 5)",2,0.95,True,0.38000000000000017,0.8131115459882583
feature_tuning,lr,2.0,None,"(1, 1)","(3, 5)",2,0.9,True,0.38000000000000017,0.8131115459882583
feature_tuning,lr,2.0,None,"(1, 1)","(4, 6)",3,0.9,True,0.34000000000000014,0.8130120481927711
feature_tuning,lr,2.0,None,"(1, 1)","(4, 6)",3,0.95,True,0.34000000000000014,0.8130120481927711
feature_tuning,lr,2.0,None,"(1, 1)","(3, 5)",3,0.95,True,0.34000000000000014,0.8129807692307692
feature_tuning,lr,2.0,None,"(1, 1)","(3, 5)",3,0.9,True,0.34000000000000014,0.8129807692307692
feature_tuning,lr,2.0,None,"(1, 2)","(3, 6)",5,0.95,True,0.37000000000000016,0.812667478684531
feature_tuning,lr,2.0,None,"(1, 2)","(3, 6)",5,0.9,True,0.37000000000000016,0.812667478684531
feature_tuning,lr,2.0,None,"(1, 1)","(3, 6)",2,0.95,True,0.3300000000000001,0.8126346015793252
feature_tuning,lr,2.0,None,"(1, 1)","(3, 6)",2,0.9,True,0.3300000000000001,0.8126346015793252
feature_tuning,lr,2.0,None,"(1, 1)","(3, 6)",3,0.95,True,0.3300000000000001,0.8125298900047824
feature_tuning,lr,2.0,None,"(1, 1)","(3, 6)",3,0.9,True,0.3300000000000001,0.8125298900047824
feature_tuning,lr,2.0,None,"(1, 2)","(4, 6)",3,0.9,True,0.37000000000000016,0.8125
feature_tuning,lr,2.0,None,"(1, 2)","(4, 6)",3,0.95,True,0.37000000000000016,0.8125
feature_tuning,lr,2.0,None,"(1, 2)","(4, 6)",5,0.9,True,0.3000000000000001,0.812338121026607
feature_tuning,lr,2.0,None,"(1, 2)","(4, 6)",5,0.95,True,0.3000000000000001,0.812338121026607
