stage,model_type,C,class_weight,word_ngram_range,char_ngram_range,min_df,max_df,sublinear_tf,best_threshold,best_f1
model_tuning,svc,0.25,None,"(1, 2)","(3, 5)",3,0.95,True,0.4200000000000002,0.8184494602551521
model_tuning,svc,0.5,None,"(1, 2)","(3, 5)",3,0.95,True,0.37000000000000016,0.8165907456245505
model_tuning,lr,2.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.38000000000000017,0.8159569260890847
model_tuning,lr,3.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.3900000000000002,0.8158347676419966
model_tuning,lr,1.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.38000000000000017,0.815395930375092
model_tuning,lr,2.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.5700000000000003,0.8145823273780782
model_tuning,svc,0.25,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.38000000000000017,0.8144404332129964
model_tuning,lr,5.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.34000000000000014,0.814031715521384
model_tuning,lr,1.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.5600000000000003,0.8140033341271732
model_tuning,lr,3.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.5800000000000003,0.8139478176054621
model_tuning,svc,1.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.37000000000000016,0.813250120019203
model_tuning,lr,5.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.5300000000000002,0.8127394636015326
model_tuning,lr,8.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.3300000000000001,0.812484993997599
model_tuning,svc,0.5,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.38000000000000017,0.8122291766971593
model_tuning,lr,8.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.5400000000000003,0.8117134559535334
model_tuning,svc,1.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.35000000000000014,0.8115530303030303
model_tuning,svc,2.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.36000000000000015,0.8113252438734238
model_tuning,lr,0.5,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.6500000000000004,0.8107974244675582
model_tuning,svc,2.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.36000000000000015,0.8107721639656816
model_tuning,svc,3.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.37000000000000016,0.8106551475881929
model_tuning,svc,3.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.36000000000000015,0.8100119189511323
model_tuning,svc,5.0,None,"(1, 2)","(3, 5)",3,0.95,True,0.37000000000000016,0.8093179634966379
model_tuning,lr,0.5,None,"(1, 2)","(3, 5)",3,0.95,True,0.35000000000000014,0.8089509143407122
model_tuning,svc,5.0,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.36000000000000015,0.8081048867699643
model_tuning,lr,0.25,balanced,"(1, 2)","(3, 5)",3,0.95,True,0.6400000000000003,0.7998034880864653
model_tuning,lr,0.25,None,"(1, 2)","(3, 5)",3,0.95,True,0.34000000000000014,0.7935068035330628
